StartDate,EndDate,Status,Duplicate?,IP Address Check,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,Q1_1,Q2,Q3,Q4,Q5,Q16,Q7,Q23,Q8,Q30,Q31,Q35,Q23,Q24,Q25,Q26,total_no_tip,total_tip,mTurkCode
Start Date,End Date,Response Type,,,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,How many times do you go out for dinner on a monthly basis? - Times eating out,"When going out to eat, who do you normally eat with?",Which courses do you usually order?,Which of the following drinks do you normally order?,"On average when going to dinner with a significant other, how much do you spend per person per meal? (including all food, beverages, tax, and tip)",Beverage Menu,Dinner Menu,Please indicate tip amount (in $):,To what degree do you believe the cost of your meal was reasonable?,Beverage Menu,Dinner Menu,To what degree do you believe the cost of your meal was reasonable?,What is your gender?,What is your age?,If you live in the U.S. select strongly agree:,"When eating at a restaurant, what percentage do you normally tip?",total_no_tip,total_tip,mTurkCode
"{""ImportId"":""startDate""}","{""ImportId"":""endDate""}","{""ImportId"":""status""}",,,"{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID9""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID35""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42_TEXT""}","{""ImportId"":""total_no_tip""}","{""ImportId"":""total_tip""}","{""ImportId"":""mTurkCode""}"
2017-03-12 11:01:01,2017-03-12 11:01:47,Survey Preview,,,,100,46,True,2017-03-12 11:01:47,R_4OzWxvySQn2phU5,,,,,37.867202758789,-122.25680541992,preview,,"Friends,Spouse / significant other,Colleagues",Main course,Beer or cider,50,,Egg and spinach fettuccine with wild mushroom ragù and Parmesan: $16,,Extremely reasonable,,,,,,,,,,26
2017-03-12 15:12:23,2017-03-12 15:14:44,Survey Preview,,,,100,141,True,2017-03-12 15:14:45,R_3fl9byANhayUUo5,,,,,37.867202758789,-122.25680541992,preview,,"Friends,Spouse / significant other,Colleagues",Main course,Beer or cider,50,,Egg and spinach fettuccine with wild mushroom ragù and Parmesan: $16,,Somewhat unreasonable,,,,,,,,,,3
2017-03-12 17:54:41,2017-03-12 17:55:11,Survey Preview,,,,100,30,True,2017-03-12 17:55:11,R_e3cEK1zgi1hnURn,,,,,37.867202758789,-122.25680541992,preview,,Family,Main course,"Wine,Beer or cider",34,One of our 5 national brand beers,"Pizza with nettles, red onions, and ricotta: $18",23,Neither reasonable nor unreasonable,,,,,,,,,,74
2017-03-12 18:12:30,2017-03-12 18:12:52,Survey Preview,,,,100,21,True,2017-03-12 18:12:53,R_1KydDtL0ryPheV4,,,,,37.867202758789,-122.25680541992,preview,,,,,,One of our 5 national brand beers,"Roasted pork loin with sweet potato purée, snap peas, and hazelnut-sage sauce: $20",5,Neither reasonable nor unreasonable,,,,,,,,,,99
2017-03-12 18:14:21,2017-03-12 18:14:48,Survey Preview,,,,100,27,True,2017-03-12 18:14:49,R_1DZsv4ttdX59jM8,,,,,37.867202758789,-122.25680541992,preview,,Spouse / significant other,Main course,Beer or cider,23,One of our 20 draft craft beers,Egg and spinach fettuccine with wild mushroom ragù and Parmesan: $16,10,Neither reasonable nor unreasonable,,,,,,,,,,80
2017-03-12 18:14:54,2017-03-12 18:15:22,Survey Preview,,,,100,27,True,2017-03-12 18:15:22,R_1i2kYr73QHUy1OM,,,,,37.867202758789,-122.25680541992,preview,,"Colleagues,I eat alone",Main course,Beer or cider,20,Red or white wine (from the wine list),"Roasted pork loin with sweet potato purée, snap peas, and hazelnut-sage sauce: $20",23,Neither reasonable nor unreasonable,,,,,,,,,,34
2017-03-12 18:20:41,2017-03-12 18:21:09,Survey Preview,,,,100,28,True,2017-03-12 18:21:09,R_2Qgl7UwBRsOdKuK,,,,,37.867202758789,-122.25680541992,preview,,Family,Main course,Cocktails / mixed drinks,45,One of our 20 draft craft beers,"Roasted pork loin with sweet potato purée, snap peas, and hazelnut-sage sauce: $20",6,Neither reasonable nor unreasonable,,,,,,,,,,54
2017-03-13 10:08:33,2017-03-13 10:09:25,Survey Preview,,,,100,51,True,2017-03-13 10:09:25,R_00OCNA9WD3UaGl3,,,,,37.769104003906,-122.4449005127,preview,,Spouse / significant other,Main course,Beer or cider,23,,,,,One of our 5 national brand beers,"Pan-fried fish and shellfish cakes with wild arugula, artichokes, and aïoli: $33",Neither reasonable nor unreasonable,,,,,,,96
