StartDate,EndDate,Status,Duplicate?,IP Address Check,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,Q1_1,Q2,Q3,Q4,Q5,Q16,Q7,Q23,Q8,Q30,Q31,Q35,Q23,Q24,Q25,Q26,total_no_tip,total_tip,mTurkCode
2017-04-03 20:05:25,2017-04-03 20:07:15,IP Address,,1,172.112.206.174,100,109,True,2017-04-03 20:07:16,R_2WSb15T3sJB4eOl,,,,,33.710998535156,-118.043800354,anonymous,4,"Friends,Spouse / significant other","Appetizer,Main course","Water,Non-alcoholic beverages",30,,,,,Bottled water,Duck leg braised in the wood oven with Belgian endive and carrot relish: $31,Somewhat unreasonable,Male,18-34,Strongly Agree,20,31,0,45
2017-04-03 20:06:12,2017-04-03 20:07:21,IP Address,,1,158.83.73.130,100,69,True,2017-04-03 20:07:22,R_1nV19ExdMVZseIn,,,,,39.999694824219,-79.898300170898,anonymous,5,Friends,"Appetizer,Main course",Water,15,Bottled water,"Pizza with nettles, red onions, and ricotta: $18",5,Somewhat reasonable,,,,Male,18-34,Strongly Agree,20,0,24.44,75
2017-04-03 20:08:01,2017-04-03 20:09:24,IP Address,,1,68.80.87.12,100,82,True,2017-04-03 20:09:25,R_3eeP02eBfuIZAmZ,,,,,40.070999145508,-75.125099182129,anonymous,5,"Spouse / significant other,Family",Main course,"Water,Non-alcoholic beverages",18,,,,,Bottled water,Egg and spinach fettuccine with wild mushroom ragù and Parmesan: $21,Somewhat reasonable,Male,18-34,Strongly Agree,18,21,0,41
2017-04-03 20:09:31,2017-04-03 20:10:27,IP Address,,1,148.74.8.215,100,55,True,2017-04-03 20:10:27,R_1li4jP0lO0yUIpF,,,,,40.809997558594,-72.849098205566,anonymous,16,Family,Main course,Non-alcoholic beverages,15,,,,,Bottled water,"Pan-fried fish and shellfish cakes with wild arugula, artichokes, and aïoli: $33",Extremely unreasonable,Male,35-49,Strongly Agree,5,33,0,8
2017-04-03 20:08:46,2017-04-03 20:10:27,IP Address,,1,173.90.210.15,100,100,True,2017-04-03 20:10:28,R_50I7jlplii6U5sl,,,,,42.066696166992,-80.166397094727,anonymous,2,Spouse / significant other,Main course,"Water,Beer or cider",30,One of our 5 national brand beers,"Pizza with nettles, red onions, and ricotta: $18",4.32,Somewhat reasonable,,,,Female,18-34,Strongly Agree,25,0,30.24,84
2017-04-03 20:10:11,2017-04-03 20:12:38,IP Address,,1,174.65.7.190,100,146,True,2017-04-03 20:12:38,R_3h6kUYLpppINchW,,,,,32.716995239258,-116.99499511719,anonymous,1,"Spouse / significant other,Family","Main course,Dessert",Non-alcoholic beverages,35,,,,,Bottled water,Duck leg braised in the wood oven with Belgian endive and carrot relish: $31,Somewhat reasonable,Female,18-34,Strongly Agree,20,31,0,2
2017-04-03 20:08:40,2017-04-03 20:12:46,IP Address,,1,76.99.18.131,100,245,True,2017-04-03 20:12:46,R_2vjPNqB6bihtlix,,,,,39.968597412109,-75.176200866699,anonymous,9,Family,"Appetizer,Dessert",Non-alcoholic beverages,15,Bottled water,Egg and spinach fettuccine with wild mushroom ragù and Parmesan: $16,1.1,Somewhat reasonable,,,,Female,35-49,Strongly Agree,15,0,18.38,41
2017-04-03 20:11:25,2017-04-03 20:12:51,IP Address,,1,47.145.72.168,100,85,True,2017-04-03 20:12:51,R_3rqR58zp70f4HPX,,,,,34.426605224609,-117.1450958252,anonymous,4,I eat alone,"Main course,Dessert",Water,20,Bottled water,Egg and spinach fettuccine with wild mushroom ragù and Parmesan: $16,2,Somewhat reasonable,,,,Female,35-49,Strongly Agree,2,0,19.28,9
2017-04-03 20:14:23,2017-04-03 20:15:16,IP Address,,1,68.6.72.241,100,53,True,2017-04-03 20:15:17,R_UEBN7MNTynYzt4t,,,,,34.018402099609,-119.72520446777,anonymous,10,Friends,Main course,Water,15,,,,,Bottled water,Egg and spinach fettuccine with wild mushroom ragù and Parmesan: $21,Somewhat reasonable,Male,18-34,Strongly Agree,15,21,0,31
2017-04-03 20:14:40,2017-04-03 20:17:20,IP Address,,1,72.199.66.86,100,159,True,2017-04-03 20:17:20,R_7VfXlfQOKqvKDoB,,,,,32.636093139648,-117.05319976807,anonymous,7,"Friends,Family,I eat alone","Appetizer,Main course",Non-alcoholic beverages,15,,,,,Bottled water,Egg and spinach fettuccine with wild mushroom ragù and Parmesan: $21,Extremely unreasonable,Male,18-34,Strongly Agree,15,21,0,31
